schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,d7c386c4-e19e-4612-8887-a0d091968a31,T1.Q1.A1,Metaphorical Language,T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,7a146b92-9a34-4cf6-b678-714ac53a02a8,T1.Q1.A2,Exaggeration,T1.Q3,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,f6059f4c-079d-42db-bb9d-f84cca619e03,T1.Q1.A3,Scandal,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,6286858b-5437-4f79-b409-8ad9b0440fca,T1.Q1.A4,Emotional tone (including expletives),"T1.Q5, T1.Q6",1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,b1e395f9-7b64-4db1-81f0-c0ad77262554,T1.Q1.A5,Shock or surprise,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,9242d69f-e0d0-41b0-8a90-a3802f41bd52,T1.Q1.A6,Slang,"T1.Q9, T1.Q10",1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,a0f4a03e-96ff-4dde-b2c0-1d9264d13329,T1.Q1.A7,Typos,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,360999dc-9ae5-40c1-9d76-9b9ef1401442,T1.Q1.A8,Bad grammar,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,e9133dd0-45f5-4aa7-872b-d94869215c8e,T1.Q1.A9,Misleading or confusing sentence structure,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,3d93c2cc-b10f-4ca4-9cfa-eb41c62dfdb3,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",99a02969-2af5-4b0b-8932-715c6673d182,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,a358692b-f1bb-4be1-ae44-7d4fb5207fcf,T1.Q1.A10,Other unnecessary or misleading coloring of language,T1.Q13,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
