,article_num,article_sha256,quiz_task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
70,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,13,0.5882352941176471,0.4117647058823529,"[643, 644, 645, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655]",0.9533671277799589,0.9533671277799589,0.7708012109488029,0.5,0.5,17,13,common belief,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",Nothing wrong with language,True
55,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,12,ordinal,1,0.8699796700269826,0.8699796700269826,L,L,L,0.4349898350134913,0.5,0.5,17,4,,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
73,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,12,ordinal,1,0.7126789855198616,0.7126789855198616,L,L,L,0.3563394927599308,0.5,0.5,17,4,,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
53,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,10,ordinal,4,0.7621424148672442,0.7621424148672442,[],,,0.7621424148672442,0.5,0.5,11,5,,Is the slang used to denigrate a group or perspective?,No,True
52,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,9,ordinal,4,0.6635030952780385,0.6635030952780385,[],,,0.6635030952780385,0.5,0.5,11,5,,How appropriate is the slang?,Mildly inappropriate,True
37,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,1,checklist,L,0.29411764705882354,0.7058823529411764,L,L,L,0.14705882352941174,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
28,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,1,checklist,L,0.2352941176470588,0.7647058823529411,L,L,L,0.1176470588235294,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
29,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,1,checklist,M,0.5294117647058824,0.4705882352941176,M,M,M,0.2647058823529412,0.5,0.5,17,13,M,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",M,True
57,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,15,ordinal,8,0.6698650881895992,0.6698650881895992,[],,,0.6698650881895992,0.5,0.5,17,10,,"How confident are you about your answers, on the whole?",8,True
69,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.1176470588235294,0.8823529411764706,L,L,L,0.05882352941176471,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
68,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
67,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.05882352941176471,0.9411764705882352,L,L,L,0.029411764705882356,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
66,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.05882352941176471,0.9411764705882352,L,L,L,0.029411764705882356,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
65,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
64,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,17,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
