,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
22,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,e44e0dce-f689-4ca8-88e5-332074f56994,Argument relevance,1,ordinal,2,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with,True
20,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,db264344-de27-4bbc-bdad-58809df009b5,Argument relevance,1,ordinal,2,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with,True
19,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,d553bc0c-3ea5-4b27-82b4-ac679e1accf0,Argument relevance,1,ordinal,1,0.9740917395500914,0.9740917395500914,L,L,L,0.4870458697750457,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article,True
15,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a28cd465-35d2-4f2b-8f5f-344b9e4ff1af,Argument relevance,1,ordinal,2,0.874469117916141,0.874469117916141,L,L,L,0.4372345589580705,0.5,0.5,4,6,,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with,True
10,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,609641ec-9a44-49ef-b4b6-54d5e5ad6c8a,Argument relevance,1,ordinal,1,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article,True
9,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,45383be5-c10f-4f75-b592-9a35d78f493d,Argument relevance,1,ordinal,2,0.874469117916141,0.874469117916141,L,L,L,0.4372345589580705,0.5,0.5,4,6,,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with,True
6,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,390a3c0d-34ac-49ef-86fd-b8eddc84e63a,Argument relevance,1,ordinal,3,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is an argument that the author has only limited interest in supporting or refuting,True
4,100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,26b7fd1a-1be1-4150-bab7-98931839d974,Argument relevance,1,ordinal,1,0.9057883220162936,0.9057883220162936,L,L,L,0.4528941610081468,0.5,0.5,4,6,,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article,True
1,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,086c7c0a-40ad-479e-bee0-6896d4ec3d33,Argument relevance,1,ordinal,1,0.9408975423966092,0.9408975423966092,L,L,L,0.4704487711983046,0.5,0.5,3,6,,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article,True
25,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,fc0539f4-75ea-41af-b43c-2029d22d022d,Argument relevance,1,ordinal,3,0.8334701898431784,0.8334701898431784,L,L,L,0.4167350949215892,0.5,0.5,5,6,,How important is the argument in bolded text to the overall article?,It is an argument that the author has only limited interest in supporting or refuting,True
