article_num,article_sha256,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,1,checklist,L,0.3333333333333333,0.6666666666666667,L,L,L,0.16666666666666666,0.5,0.5,6,5,L,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,6,5,L,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,6,5,L,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,6,5,L,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,1,checklist,M,0.6666666666666666,0.33333333333333337,M,M,M,0.3333333333333333,0.5,0.5,6,5,M,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,2,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,5,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,2,checklist,U,0.3333333333333333,0.6666666666666667,U,U,U,0.16666666666666666,0.5,0.5,2,5,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,2,checklist,U,0.3333333333333333,0.6666666666666667,U,U,U,0.16666666666666666,0.5,0.5,2,5,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,2,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,5,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,2,checklist,U,0.3333333333333333,0.6666666666666667,U,U,U,0.16666666666666666,0.5,0.5,2,5,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,7,ordinal,3,1.0,1.0,[],NA,NA,1.0,0.5,0.5,6,5,NA,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,8,nominal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,1,U,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,9,ordinal,1,0.9202216534566212,0.9202216534566212,[],NA,NA,0.9202216534566212,0.5,0.5,6,10,NA,question text,NA
0d0134d8-41e1-4070-9f39-008f905280b0,0d0134d8,10,ordinal,10,0.8569217464840553,0.8569217464840553,[],NA,NA,0.8569217464840553,0.5,0.5,6,10,NA,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,6,5,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,1,checklist,M,0.6666666666666666,0.33333333333333337,M,M,M,0.3333333333333333,0.5,0.5,6,5,M,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,1,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,0.5,0.5,6,5,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,6,5,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,1,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,0.5,0.5,6,5,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,7,L,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,3,checklist,7,1.0,0.0,[],NA,NA,1.0,0.5,0.5,4,7,NA,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.5,0.5,U,U,U,0.25,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.5,0.5,U,U,U,0.25,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,7,ordinal,2,1.0,1.0,[],NA,NA,1.0,0.5,0.5,6,5,NA,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,9,ordinal,2,0.9207866347181185,0.9207866347181185,[],NA,NA,0.9207866347181185,0.5,0.5,6,10,NA,question text,NA
a39092fb-d019-4d60-9622-511268e05798,a39092fb,10,ordinal,5,0.8994439452395167,0.8994439452395167,[],NA,NA,0.8994439452395167,0.5,0.5,6,10,NA,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,5,L,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,5,L,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,1,checklist,L,0.25,0.75,L,L,L,0.125,0.5,0.5,4,5,L,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,4,5,L,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,1,checklist,M,0.75,0.25,M,M,M,0.375,0.5,0.5,4,5,M,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.5,0.5,U,U,U,0.25,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,6,checklist,U,0.5,0.5,U,U,U,0.25,0.5,0.5,1,8,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,7,ordinal,2,1.0,1.0,[],NA,NA,1.0,0.5,0.5,5,5,NA,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,8,nominal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,1,U,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,9,ordinal,5,0.9233942880745954,0.9233942880745954,[],NA,NA,0.9233942880745954,0.5,0.5,5,10,NA,question text,NA
d5b9fb64-bf74-405d-a59e-ae933d880963,d5b9fb64,10,ordinal,7,0.9288262020136028,0.9288262020136028,[],NA,NA,0.9288262020136028,0.5,0.5,5,10,NA,question text,NA
