schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,492f4aa4-d54c-46b2-8bc7-1e9676b607e9,T1.Q1.A1,Metaphorical Language,T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,8a1d3be8-2887-4f4c-8347-493c0f2493c2,T1.Q1.A2,Exaggeration,T1.Q3,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,3c5ce6a2-1f72-405e-978d-287eb244ca69,T1.Q1.A3,Scandal,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,cb9cf2a5-ec90-409f-a042-80f88a59de17,T1.Q1.A4,Emotional tone (including expletives),"T1.Q5, T1.Q6",1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,a296eccd-d186-4fe7-830f-7c88ee3e6578,T1.Q1.A5,Shock or surprise,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,0f6965ff-df09-42c7-85d5-91a729e37e1f,T1.Q1.A6,Slang,"T1.Q9, T1.Q10",1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,37370e76-9d95-46e3-860f-a43cfce3d008,T1.Q1.A7,Typos,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,08620400-e720-497c-a91f-7b68c29a4142,T1.Q1.A8,Bad grammar,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,35f12848-22cd-40fa-8c7c-0ff91d91ce63,T1.Q1.A9,Misleading or confusing sentence structure,T1.Q11,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,3228ec44-d42a-408b-ab67-4c58eeb2b5cc,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",806b80f5-6a24-41cd-8c58-1f729d4db7bf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,4bae789b-5f77-43aa-9a40-07b54595ca81,T1.Q1.A10,Other unnecessary or misleading coloring of language,T1.Q13,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
