article_num,article_sha256,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chancenum_users,num_answer_choices,target_text,question_text,answer_content
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,2,0.75,0.25,[279 280 281 282 283 284 285 286 287 288 289],0.7561499776923214,0.43827173172171474,0.7530749888461608,0.3116,0.3116,4,9,far simpler,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",Exaggeration
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,L,0.5,0.5,L,L,L,0.25,0.6814,0.6814,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,4,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1734,337b76dd,1,checklist,9,0.75,0.25,"[ 438  439  440  441  442  443  444  445  446  447  448  449  450  451
  452  453  454  455  456  457  458  459  460  461  462  463  464  465
 1183 1184 1185 1186 1187 1188 1189 1190 1191 1192 1193 1194 1195 1196]",0.884854711557016,0.884854711557016,0.817427355778508,0.3089,0.3089,4,9,miserably counting imaginary//civilised hour,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",Other unnecessary or misleading coloring of language
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,1.0,0.0,U,U,U,0.5,0.5108,0.5108,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,8,U,Which of the following emotions does the passage express? Check all that apply.,U
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.0,1.0,L,L,L,0.0,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,L,0.3333333333333333,0.6666666666666667,L,L,L,0.16666666666666666,1,1,3,9,L,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",L
1733,3b1f433b,1,checklist,9,0.6666666666666666,0.33333333333333337,"[5646 5647 5648 5649 5650 5651 5652 5653 5654 5655 5656 5657 5658 5659
 5660 5661 5662 5663 5664 5665 5666 5667 5668 5669 5670 5671 5672 5673
 5674 5675 5676 5677 5678 5679 5680 5681 5682 5683 5684 5685 5686 5687
 5688 5689 5690 5691 5692 5693 5694 5695 5696 5697 5698 5699 5700 5701
 5702 5703 5704 5705 5706 5707 5708 5709 5710 5711 5712 5713 5714 5715
 5716 5717 5718 5719 5720]",1.0,1.0,0.8333333333333333,0.4923,0.4923,3,9,Because I don't have to tell you that Nobel Prizes aren't given out lightly,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",Other unnecessary or misleading coloring of language
1737,c35844f6,1,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,9,U,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",U
1737,c35844f6,1,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,9,U,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",U
1737,c35844f6,1,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,9,U,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",U
