schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,4dd88b03-784d-4314-9370-f8f9a02bb45f,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,NONE,,{},3,55b2131b-5cd2-4c30-9a12-86f13d2b1b73,T1.Q1.A1,Yes,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,4dd88b03-784d-4314-9370-f8f9a02bb45f,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,NONE,,{},3,9bd0adb4-e605-47e6-b419-33214f94c407,T1.Q1.A2,Maybe,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,4dd88b03-784d-4314-9370-f8f9a02bb45f,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,NONE,,{},3,974559fd-633b-4adb-ae95-011782116515,T1.Q1.A3,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,1a705a06-1371-40f4-9fc4-b0f046ac5bc4,T1.Q2,To what extent does the confidence (or lack thereof) seem justified?,RADIO,NONE,,{},5,124e76c1-a19d-49b3-85d9-afe991fe8fa6,T1.Q2.A1,Completely justified,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,1a705a06-1371-40f4-9fc4-b0f046ac5bc4,T1.Q2,To what extent does the confidence (or lack thereof) seem justified?,RADIO,NONE,,{},5,c8f361db-beca-41a1-98d5-dd04ef7fb8dd,T1.Q2.A2,Mostly justified,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,1a705a06-1371-40f4-9fc4-b0f046ac5bc4,T1.Q2,To what extent does the confidence (or lack thereof) seem justified?,RADIO,NONE,,{},5,a4b0d823-e16e-4540-8496-caecd381205d,T1.Q2.A3,Somewhat justified,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,1a705a06-1371-40f4-9fc4-b0f046ac5bc4,T1.Q2,To what extent does the confidence (or lack thereof) seem justified?,RADIO,NONE,,{},5,cb3639be-1156-4c55-8c4f-ddf039299d4b,T1.Q2.A4,Slightly justified,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,1a705a06-1371-40f4-9fc4-b0f046ac5bc4,T1.Q2,To what extent does the confidence (or lack thereof) seem justified?,RADIO,NONE,,{},5,8bc35c7d-5f80-4ccf-bcd9-f016882df92d,T1.Q2.A5,Not at all justified,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,fbdb41e2-539f-434b-81a0-a218f36f63ea,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,RADIO,NONE,,{},3,8c9b2e63-8de8-4b40-8c6e-cf19ab281273,T1.Q3.A1,"Yes, explicitly",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,fbdb41e2-539f-434b-81a0-a218f36f63ea,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,RADIO,NONE,,{},3,a43c2c19-493e-4fc1-aed6-a41c59c7637e,T1.Q3.A2,"Yes, implicitly (e.g. with words like ""could,"" ""might,"" etc.)",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,fbdb41e2-539f-434b-81a0-a218f36f63ea,T1.Q3,Does the text acknowledge that the favored theory is in any way uncertain?,RADIO,NONE,,{},3,17c989f5-5f7c-43ed-a8b8-9e74c923711e,T1.Q3.A3,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,3b2caed8-c33d-4a0b-b3a0-93ec46c0538e,T1.Q4.A1,No numbers provided for which context would be helpful,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,a439c99b-5c5c-4924-a6af-1b2d2769bc7b,T1.Q4.A2,"Number given, no need for comparison",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,ae53e6d5-e632-4893-8a6b-b39fe55219a3,T1.Q4.A3,"Number given, no comparison numbers",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,12343b74-1537-45a0-b4f8-a0dd89a50398,T1.Q4.A4,"Number given, but comparison is confusing",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,8a7321fd-cae2-40de-8269-3c310633b1f8,T1.Q4.A5,"Useful comparison number given (e.g. for previous year, nearby place, previous similar event, etc.)",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,68a38231-6b0a-4e59-8139-64b335fdf4b4,T1.Q4,"If a number is given, are relevant comparison numbers given to provide context?",RADIO,NONE,,{},6,08e8cc21-3550-4f8b-9bd9-0d9f48c9a764,T1.Q4.A6,"Proportion to comparison number given (e.g. ""twice as many,"" ""4% more"")",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Probability_2018_10_09,5c8d9eab393161dbd42491d76aabb129fe12363480449aee5f8ff758f592362d,81df6e09-f91a-46ce-8522-4a8f42455a36,Probability,0c2a65ab-754b-4e5c-be4d-4e4638458a20,T1.Q5,"Does the text present any numbers with more precision than is justified? (e.g., an exact number as if it was definitely exactly right, when it can only be an estimate.)",RADIO,WHEN,,{},3,977af1bc-549a-4183-9527-3c79868a2151,T1.Q5.A1,Yes,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
