,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
0,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
1,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
2,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
3,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,1,checklist,4,1.0,0.0,"[6206, 6207, 6208, 6209, 6210, 6211, 6212, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6226]",,,,0.5,0.5,1,5,Biology isn’t destiny,Does the passage contain... (check all that apply):,An effective critique of a reasoning error made by someone else
4,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
5,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,9,ordinal,8,1.0,1.0,[],,,1.0,0.5,0.5,1,10,,"How confident are you about your answers, on the whole?",8
6,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,3573ee1d-64eb-4e21-a9bd-444152493c5a,Beginner Reasoning Specialist Structured,10,ordinal,L,-inf,-inf,L,L,L,-inf,0.5,0.5,1,10,L,Please let us know if you have suggestions for how we might improve this task or its interface. Thank you for participating!,L
7,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,6f6743bc-2057-4b4e-890a-06951ab1b49e,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
8,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,6f6743bc-2057-4b4e-890a-06951ab1b49e,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
9,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,6f6743bc-2057-4b4e-890a-06951ab1b49e,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
10,100005,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,6f6743bc-2057-4b4e-890a-06951ab1b49e,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,1,5,L,Does the passage contain... (check all that apply):,L
