Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Metaphor unhelpful,-1.3561438102252754,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Exaggeration,-2.1199922663873747,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriately emotional,-3.8917166631461177,"[3896, 3897, 3898, 3899, 3900, 3901]",3896,3902,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriately emotional,-3.0,"[151, 152, 153, 154, 155, 156, 157, 158]",151,158,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriately emotional,0,"[250, 251, 252, 253, 254, 255, 256]",250,256,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriately emotional,0,"[423, 424, 425, 426, 427, 428, 429]",423,430,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.5085539288344783,"[6999, 7000, 7001, 7002, 7003, 7004, 7005, 7006, 7007, 7008, 7009, 7010, 7011, 7012, 7013, 7014, 7015, 7016, 7017, 7018, 7019, 7020, 7021, 7022, 7023, 7024]",6999,7024,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,0,"[7067, 7068, 7069, 7070, 7071, 7072, 7073, 7074, 7075, 7076, 7077, 7078, 7079, 7080, 7081, 7082, 7083, 7084, 7085, 7086, 7087, 7088, 7089, 7090, 7091, 7092, 7093, 7094, 7095, 7096, 7097, 7098, 7099, 7100]",7067,7101,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.25,"[210, 211, 212, 213, 214, 215, 216, 217, 218]",210,219,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Inappropriate slang,-0.25,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.40367746102880203,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.40367746102880203,"[6999, 7000, 7001, 7002, 7003, 7004, 7005, 7006, 7007, 7008, 7009, 7010, 7011, 7012, 7013, 7014, 7015, 7016, 7017, 7018, 7019, 7020, 7021, 7022, 7023, 7024]",6999,7024,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,0,"[7067, 7068, 7069, 7070, 7071, 7072, 7073, 7074, 7075, 7076, 7077, 7078, 7079, 7080, 7081, 7082, 7083, 7084, 7085, 7086, 7087, 7088, 7089, 7090, 7091, 7092, 7093, 7094, 7095, 7096, 7097, 7098, 7099, 7100]",7067,7101,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Denigration,-0.25,"[210, 211, 212, 213, 214, 215, 216, 217, 218]",210,219,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.0,[],-1,-1,nan
ae31e85165a70dd348fc92519e2636f96614c884c24fa490e0c729d3dbe62867,L0,Language,Well-balanced,0.8286346099994961,[],-1,-1,nan
,,,,,,,,
