article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.25,0.75,L,L,L,0.125,4,6,L,Does the passage contain... (check all that apply):,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,Does the passage contain... (check all that apply):,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,Does the passage contain... (check all that apply):,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,M,0.5,0.5,M,M,M,0.25,4,6,M,Does the passage contain... (check all that apply):,M
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.25,0.75,L,L,L,0.125,4,6,L,Does the passage contain... (check all that apply):,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.25,0.75,L,L,L,0.125,4,6,L,Does the passage contain... (check all that apply):,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,0,checklist,L,0.0,1.0,L,L,L,0.0,1,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,0,checklist,L,0.0,1.0,L,L,L,0.0,1,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,0,checklist,L,0.0,1.0,L,L,L,0.0,1,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,0,checklist,L,0.0,1.0,L,L,L,0.0,1,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,0,checklist,L,0.0,1.0,L,L,L,0.0,1,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,2,e9bf2dfb-f55a-46c6-bee1-6ea6db1d0f23,checklist,6,1.0,0.0,[],NA,NA,1.0,1,6,NA,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,No misleading reasoning about probability or frequency
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,9,0,ordinal,M,0.6752486235420666,0.6752486235420666,M,M,M,0.3376243117710333,4,10,M,"How difficult was this task for you, on the whole?",M
100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,4f3bca38-79d9-4a37-aebd-db9a33657fe8,896b08c1-6d02-4bd5-886d-5e6045370fc3,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,10,eb339ff2-62c0-4a21-9ff6-c0007cbfdc55,ordinal,6,0.8390359525563189,0.8390359525563189,[],NA,NA,0.8390359525563189,4,10,NA,"How confident are you about your answers, on the whole?",6
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,Does the passage contain... (check all that apply):,L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,Does the passage contain... (check all that apply):,L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,Does the passage contain... (check all that apply):,L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,M,0.5,0.5,M,M,M,0.25,4,6,M,Does the passage contain... (check all that apply):,M
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.25,0.75,L,L,L,0.125,4,6,L,Does the passage contain... (check all that apply):,L
100034,3b9c291d9345c8221a497206a766483bf78df474550f0c50c58df9ad4c20ff75,c3be92ee-3e6f-48d4-b097-a3801a1d99e4,aa4b5aaf-adef-427e-b1d5-a2bd43bb4047,Reasoning Specialist V4,eace698d45562a4832f0753fc291ea8199df836c5c98517a897c6d112e9f1545,1,0,checklist,L,0.25,0.75,L,L,L,0.125,4,6,L,Does the passage contain... (check all that apply):,L
