anno_id,task_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,topic_number,topic_namespace,topic_name,question_number,question_text,answer_number,answer_text,contributor_id,start_pos,end_pos,target_text
1,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,1,Very low credibility,4,0,0,
2,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,1,Completely Unrepresentative,4,0,0,
3,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,3,How is the title unrepresentative of the content of the article? (Select all that apply).,7,Other,4,0,0,
4,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,1,Very much clickbaity,4,0,0,
5,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,2,"Cliffhanger to a story (“You Won’t Believe What Happens Next”, “Man Divorces His Wife After Overhearing This Conversation”)",4,226,252,"At least 1,200 people have"
6,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,3,"Provoking emotions, such as shock or surprise (“...Shocking Result”, “...Leave You in Tears”)",4,352,373,"Bangladesh and Nepal,"
7,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,8,Other,4,324,335,floods that
8,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,6,How would you describe what makes this headline clickbait?,1,placeholder answer for TEXT,4,302,387,"following devastating floods that have hit India, Bangladesh and Nepal, in one of the"
9,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,4,0,0,
10,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",2,Experts,4,0,0,
