schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",42011511-e6b0-411b-ba76-0f0ded6a5c46,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,3bcd2782-28d2-4e2e-b7d7-d6f716395412,T1.Q1.A1,Yes,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",42011511-e6b0-411b-ba76-0f0ded6a5c46,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,b95421a6-e17a-41d8-af7d-3d639bc534dc,T1.Q1.A2,Maybe,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",42011511-e6b0-411b-ba76-0f0ded6a5c46,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,98ab30f2-722e-4d29-8de6-d39ba4816952,T1.Q1.A3,No,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",4e107641-5722-4c8c-b1d4-924ba6467282,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,6fbb26fe-b954-46df-998e-d104237a4007,T1.Q2.A1,Completely justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",4e107641-5722-4c8c-b1d4-924ba6467282,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,5aebf433-a606-4b5c-8e30-50afe39e951e,T1.Q2.A2,Mostly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",4e107641-5722-4c8c-b1d4-924ba6467282,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,46b42a03-4765-4644-a834-b6755171bc54,T1.Q2.A3,Somewhat justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",4e107641-5722-4c8c-b1d4-924ba6467282,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,aa6caaca-a9d7-4f2f-ad06-6aac843d5daa,T1.Q2.A4,Slightly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",4e107641-5722-4c8c-b1d4-924ba6467282,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,cf7e439e-6160-4fcb-b6ee-aab960ccc6bf,T1.Q2.A5,Not at all justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""NOHIGHLIGHT"": true, ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e8f9eab4-bd8e-49eb-bae2-4ec72aca45ef,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,cd72a989-eb30-4176-964c-4a025d21a92e,T1.Q5.A1,"Yes, explicitly",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,b70db76f-9cbd-4a2c-8d33-4a26230dcef7,Probability Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e8f9eab4-bd8e-49eb-bae2-4ec72aca45ef,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,779779b2-6509-46c4-bbbc-18c1cc298422,T1.Q5.A2,"Yes, implicitly",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
