Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,-2.2725906218364518,"[2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 2569, 2570, 2571, 2572, 2573, 2574, 2575, 2576, 2577, 2578, 2579, 2580, 2581, 2582, 2583, 2584, 2585, 2586, 2587, 2588, 2589, 2590, 2591, 2592, 2593, 2594, 2595, 2596, 2597, 2598, 2599, 2600, 2601, 2602, 2603, 2604, 2605, 2606, 2607, 2608, 2609, 2610, 2611, 2612, 2613, 2614, 2615, 2616, 2617, 2618, 2619, 2620, 2621, 2622, 2623, 2624, 2625, 2626, 2627, 2628, 2629, 2630, 2631, 2632, 2633, 2634]",2550,2634,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[2766, 2767, 2768, 2769, 2770, 2771, 2772, 2773, 2774, 2775, 2776, 2777, 2778, 2779, 2780, 2781, 2782, 2783, 2784, 2785, 2786, 2787, 2788, 2789, 2790, 2791, 2792, 2793, 2794, 2795, 2796, 2797, 2798, 2799, 2800, 2801, 2802, 2803, 2804, 2805, 2806, 2807, 2808, 2809, 2810, 2811, 2812, 2813, 2814, 2815, 2816, 2817, 2818, 2819, 2820, 2821, 2822, 2823, 2824, 2825]",2766,2826,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,-1.8821163463569264,"[407, 408, 409, 410, 411, 412, 413, 414]",407,414,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[918, 919, 920, 921, 922, 923, 924, 925]",918,925,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[1757, 1758, 1759, 1760, 1761, 1762, 1763]",1757,1763,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[1832, 1833, 1834, 1835, 1836, 1837, 1838]",1832,1838,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[2860, 2861, 2862, 2863, 2864, 2865, 2866, 2867]",2860,2867,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Exaggeration,0,"[3083, 3084, 3085, 3086, 3087, 3088, 3089]",3083,3090,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Inappropriate slang,-0.18962766641920048,"[906, 907, 908, 909, 910, 911, 912, 913, 914]",906,914,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Inappropriate slang,0,"[1832, 1833, 1834, 1835, 1836, 1837]",1832,1838,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Denigration,-0.19564220200207755,"[906, 907, 908, 909, 910, 911, 912, 913, 914]",906,914,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Denigration,0,"[1832, 1833, 1834, 1835, 1836, 1837]",1832,1838,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Well-balanced,0.36737209331643855,[],-1,-1,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,L0,Language,Well-balanced,0.3498283589698761,[],-1,-1,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,P0,Probability,Inappropriate confidence,-1.4287294370211547,[],-1,-1,nan
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,P0,Probability,Acknowledges uncertainty,0.2267996803076201,"[694, 695, 696, 697, 698, 699]",694,699,doubts//I have not ruled it out//speculation
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,P0,Probability,Acknowledges uncertainty,0,"[4091, 4092, 4093, 4094, 4095, 4096, 4097, 4098, 4099, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113]",4091,4113,doubts//I have not ruled it out//speculation
1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,P0,Probability,Acknowledges uncertainty,0,"[4171, 4172, 4173, 4174, 4175, 4176, 4177, 4178, 4179, 4180]",4171,4181,doubts//I have not ruled it out//speculation
,,,,,,,,
