Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Key Question,answer_uuid
Language,2,,ordinal,1,-4,Metaphor unhelpful,,
Language,2,,ordinal,2,-3,Metaphor unhelpful,,
Language,2,,ordinal,3,-2,Metaphor unhelpful,,
Language,2,,ordinal,4,-1,Metaphor unhelpful,,
Language,2,,ordinal,5,0,Metaphor unhelpful,,
Language,3,,ordinal,1,-5,Exaggeration,,
Language,3,,ordinal,2,-3.75,Exaggeration,,
Language,3,,ordinal,3,-2.5,Exaggeration,,
Language,3,,ordinal,4,-1.25,Exaggeration,,
Language,3,,ordinal,5,0,Exaggeration,,
Language,5,,ordinal,1,-6,Inappropriately emotional,,
Language,5,,ordinal,2,-4.5,Inappropriately emotional,,
Language,5,,ordinal,3,-3,Inappropriately emotional,,
Language,5,,ordinal,4,-1.5,Inappropriately emotional,,
Language,5,,ordinal,5,-0.5,Inappropriately emotional,,
Language,8,,ordinal,1,0,Shock,,
Language,8,,ordinal,2,-1,Shock,,
Language,8,,ordinal,3,-2,Shock,,
Language,8,,ordinal,4,-3,Shock,,
Language,9,,ordinal,1,1,Inappropriate slang,,
Language,9,,ordinal,2,-0.75,Inappropriate slang,,
Language,9,,ordinal,3,-0.5,Inappropriate slang,,
Language,9,,ordinal,4,-0.25,Inappropriate slang,,
Language,9,,ordinal,5,0,Inappropriate slang,,
Language,10,,ordinal,1,-1,Denigration,,
Language,10,,ordinal,2,-0.75,Denigration,,
Language,10,,ordinal,3,-0.5,Denigration,,
Language,10,,ordinal,4,-0.25,Denigration,,
Language,10,,ordinal,5,0,Denigration,,
Language,11,,ordinal,1,-5,Writing errors,,
Language,11,,ordinal,2,-3.75,Writing errors,,
Language,11,,ordinal,3,-2.5,Writing errors,,
Language,11,,ordinal,4,-1.25,Writing errors,,
Language,11,,ordinal,5,0,Writing errors,,
Language,13,,ordinal,1,-5,Other problematic tone,,
Language,13,,ordinal,2,-3.75,Other problematic tone,,
Language,13,,ordinal,3,-2.5,Other problematic tone,,
Language,13,,ordinal,4,-1.25,Other problematic tone,,
Language,13,,ordinal,5,0,Other problematic tone,,
Language,12,,ordinal,0,0,Well-balanced,,
Language,12,,ordinal,1,0.5,Well-balanced,,
Language,12,,ordinal,2,1,Well-balanced,,
Language,12,,ordinal,3,2,Well-balanced,,
Reasoning,2,,categorical,1,-5,Availability Heuristic,,
Reasoning,2,,categorical,2,-4,Stereotyping,,
Reasoning,2,,categorical,3,-4,Hindsight Bias,,
Reasoning,2,,categorical,4,-4,Gambler's Fallacy,,
Reasoning,2,,categorical,5,-3,Other misleading reasoning,,
Reasoning,2,,categorical,6,0,,,
Reasoning,3,,categorical,1,-5,Just World Fallacy,,
Reasoning,3,,categorical,2,-4,Good Old Days Fallacy,,
Reasoning,3,,categorical,3,-5,Naturalistic Fallacy,,
Reasoning,3,,categorical,4,-5,Sunk Cost Fallacy,,
Reasoning,3,,categorical,5,-4,Identifiable Victim Effect,,
Reasoning,3,,categorical,6,-3,Other appeals to biases,,
Reasoning,4,,ordinal,1,2,Identifiable Victim Effect,,
Reasoning,4,,ordinal,2,1,Identifiable Victim Effect,,
Reasoning,4,,ordinal,3,0,Identifiable Victim Effect,,
Reasoning,5,,ordinal,1,2,Identifiable Victim Effect,,
Reasoning,5,,ordinal,2,1,Identifiable Victim Effect,,
Reasoning,5,,ordinal,3,0,Identifiable Victim Effect,,
Reasoning,6,,categorical,1,-4,Begging the Question,,
Reasoning,6,,categorical,2,-5,False Dilemma,,
Reasoning,6,,categorical,3,-4,Straw Man Argument,,
Reasoning,6,,categorical,4,-5,Red Herring,,
Reasoning,6,,categorical,5,-5,Equivocation,,
Reasoning,6,,categorical,6,-4,Slippery Slope Argument,,
Reasoning,6,,categorical,7,-5,Appeal to Ignorance,,
Reasoning,6,,categorical,8,-3,Other logical fallacies,,
Reasoning,6,,categorical,9,0,,,
Reasoning,7,,ordinal,1,-5,Misleading argument,,
Reasoning,7,,ordinal,2,-4,Misleading argument,,
Reasoning,7,,ordinal,3,-3,Misleading argument,,
Reasoning,7,,ordinal,4,-2,Misleading argument,,
Reasoning,7,,ordinal,5,-1,Misleading argument,,
Reasoning,7,,ordinal,6,0,Misleading argument,,
Evidence,2,,categorical,1,0,Quality of evidence,,
Evidence,2,,categorical,2,0,Quality of evidence,,
Evidence,2,,categorical,3,0,Quality of evidence,,
Evidence,2,,categorical,4,0,Quality of evidence,,
Evidence,2,,categorical,5,0,Quality of evidence,,
Evidence,2,,categorical,6,0,Quality of evidence,,
Evidence,2,,categorical,7,0,Quality of evidence,,
Evidence,2,,categorical,8,0,Quality of evidence,,
Evidence,2,,categorical,9,0,Quality of evidence,,
Evidence,4,,ordinal,1,0,Sample representativeness,,
Evidence,4,,ordinal,2,-0.5,Sample representativeness,,
Evidence,4,,ordinal,3,-1,Sample representativeness,,
Evidence,4,,ordinal,4,-2,Sample representativeness,,
Evidence,4,,ordinal,5,-4,Sample representativeness,,
Evidence,4,,ordinal,6,-2,Sample representativeness,,
Evidence,5,,ordinal,1,0,Control condition,,
Evidence,5,,ordinal,2,-0.5,Control condition,,
Evidence,5,,ordinal,3,-1,Control condition,,
Evidence,5,,ordinal,4,-2,Control condition,,
Evidence,5,,ordinal,5,-3,Control condition,,
Evidence,6,,ordinal,1,0,Randomized Assignment,,
Evidence,6,,ordinal,2,-2,Randomized Assignment,,
