schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,b5e7e082-5e09-40f0-89f5-7ab46d669816,T1.Q1.A1,Metaphorical Language,T1.Q2,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,df3a6bbb-9d78-4c12-8d04-5af927df5ffc,T1.Q1.A2,Exaggeration,T1.Q3,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,7eee0595-7f0f-46e8-96cf-fa4cbf3eb1bf,T1.Q1.A3,Scandal (i.e. portrayal of immoral actions/situations/behavior),T1.Q10,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,027577ce-392c-4f12-a38e-73300f36bb0e,T1.Q1.A4,Emotional tone (including expletives),"T1.Q4, T1.Q5",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,5962fd6f-928e-4c2b-af46-3f5bb68f44f0,T1.Q1.A5,Shock or surprise,T1.Q10,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,cf3bd4a6-2a77-4e49-a2e5-b3b2ffeb4a4a,T1.Q1.A6,Slang,"T1.Q7, T1.Q8",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,1e149f44-5f07-4664-ba35-36e08a842cad,T1.Q1.A7,Typos,T1.Q9,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,573679cb-6885-4e0c-880e-4741d7e4be03,T1.Q1.A8,Bad grammar,T1.Q9,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,2c74466e-570e-4252-a228-634a62f6368e,T1.Q1.A9,Misleading or confusing sentence structure,T1.Q9,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Language_2018_10_09,23a2921293a83d64b71b9b16d1cabdc23f118dd3e4ab248228491abd5bdb8f92,6215a984-a8c8-438a-9bdf-3085e8b1084a,Language Specialist V3,603b0816-a43c-4ebd-baee-baadff99ceaf,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,NONE,,{},13,09950194-92d8-4ecc-a90b-4db696439afa,T1.Q1.A10,Other unnecessary or misleading coloring of language,T1.Q10,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
