article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,072df47b-75cd-4108-b468-d0242c8322e1,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,086c7c0a-40ad-479e-bee0-6896d4ec3d33,Argument relevance,1,ordinal,1,0.9408975423966092,0.9408975423966092,L,L,L,0.4704487711983046,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1c83e500-6720-43f3-9a63-495916a1072d,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,20351b47-0f7a-441a-920b-905854416942,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,26b7fd1a-1be1-4150-bab7-98931839d974,Argument relevance,1,ordinal,1,0.9057883220162936,0.9057883220162936,L,L,L,0.4528941610081468,0.5,0.5,4,6,N/A,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2945fb96-45a2-40b8-a9e1-54806cd5eea8,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,390a3c0d-34ac-49ef-86fd-b8eddc84e63a,Argument relevance,1,ordinal,3,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is an argument that the author has only limited interest in supporting or refuting
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,39594f29-7475-4ade-975d-8dd7a96586b9,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,429a2ea2-b686-4096-80ff-8e6df6a9bbea,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,45383be5-c10f-4f75-b592-9a35d78f493d,Argument relevance,1,ordinal,2,0.874469117916141,0.874469117916141,L,L,L,0.4372345589580705,0.5,0.5,4,6,N/A,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,609641ec-9a44-49ef-b4b6-54d5e5ad6c8a,Argument relevance,1,ordinal,1,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article
100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,774b6b88-567a-49fe-a63e-a502f20b6419,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,87f1cb9f-97c1-4392-bfb7-03eaf13918d9,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,8f7d5511-2cbb-4662-ae62-4d4d4cd6c21c,Argument relevance,1,ordinal,M,0.765859972576889,0.765859972576889,M,M,M,0.3829299862884445,0.5,0.5,3,6,M,How important is the argument in bolded text to the overall article?,M
100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,95f9e9a1-771e-4b66-ac26-88d22b81643c,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a28cd465-35d2-4f2b-8f5f-344b9e4ff1af,Argument relevance,1,ordinal,2,0.874469117916141,0.874469117916141,L,L,L,0.4372345589580705,0.5,0.5,4,6,N/A,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with
100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,b54212ef-47bb-4455-8705-3992e5a3151f,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100000,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,cc392552-ef17-4a13-bfb9-f9ec1fbc0609,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,cca48212-7b0d-4e75-a981-a624022baae4,Argument relevance,1,ordinal,U,0.9708536543404835,0.9708536543404835,U,U,U,0.48542682717024177,0.5,0.5,2,6,U,How important is the argument in bolded text to the overall article?,U
100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,d553bc0c-3ea5-4b27-82b4-ac679e1accf0,Argument relevance,1,ordinal,1,0.9740917395500914,0.9740917395500914,L,L,L,0.4870458697750457,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is the main argument of the entire article
100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,db264344-de27-4bbc-bdad-58809df009b5,Argument relevance,1,ordinal,2,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e273fcef-f5a5-40c0-bcc2-8f240ed3469e,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,e44e0dce-f689-4ca8-88e5-332074f56994,Argument relevance,1,ordinal,2,0.8883835593912472,0.8883835593912472,L,L,L,0.4441917796956236,0.5,0.5,3,6,N/A,How important is the argument in bolded text to the overall article?,It is one of a few arguments the author wants the audience to agree with
100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,f3a41cc2-1598-455b-8817-ad9dfb78ba0a,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f8b7e728-7c83-44da-8f11-7ecedd2fc322,Argument relevance,1,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,6,U,How important is the argument in bolded text to the overall article?,U
100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,fc0539f4-75ea-41af-b43c-2029d22d022d,Argument relevance,1,ordinal,3,0.8334701898431784,0.8334701898431784,L,L,L,0.4167350949215892,0.5,0.5,5,6,N/A,How important is the argument in bolded text to the overall article?,It is an argument that the author has only limited interest in supporting or refuting
