schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,4fd597f5-ebd9-4e58-8438-7265477c30c2,T1.Q1.A1,First name of quoted or paraphrased person,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,791da6b8-e603-4a6e-a368-af1edc0f8627,T1.Q1.A2,Middle name or initial,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,a420340b-d56d-49a3-8e8c-cd1eaeff85e9,T1.Q1.A3,Last name,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,5b2ab38f-68f3-4c44-9212-f36218a90315,T1.Q1.A4,"Honorific of a quoted or paraphrased person (Mr. Mrs., Dr., etc.)",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,2524f64d-1d45-4a3a-803a-dc5be880f896,T1.Q1.A5,"Title, role, or position of a quoted or paraphrased person",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,110c9859-590b-4564-a0ed-248f2e91187d,T1.Q1.A6,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,3d4d4f24-bed3-49e6-b553-e2e3345ab426,T1.Q1.A7,Name of Organization being quoted or paraphrased or being represented by quoted person,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,271f6ef9-baa4-4aa3-bdeb-8c548f8e5daf,T1.Q1.A8,"Description of the Organization (i.e. ""a Springfield institution"")",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,1e1579ae-ada2-481a-ad65-3ba9774e9d09,T1.Q1,"Identify the following aspects of the person, organization, or group quoted or cited with the bold text to the left.",CHECKBOX,NONE,,{},9,b918c7f0-2836-4be6-a4fb-1c3331d0c1f8,T1.Q1.A9,"The quote or paraphrased source is only referred to by a vague description (e.g. ""experts say ..."")",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,73fbbc16-3812-436c-b5f5-15f57cbf08f3,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",CHECKBOX,NONE,,{},2,390eaae2-a1ce-45be-abec-dd4548c11f3b,T1.Q2.A1,A direct quote,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,73fbbc16-3812-436c-b5f5-15f57cbf08f3,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",CHECKBOX,NONE,,{},2,7621a5b6-180f-4703-968d-1dfea1923481,T1.Q2.A2,A paraphrase,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,e67564f5-4a35-4a19-80d9-a8a9a1a0daa3,T1.Q3.A1,The quote or paraphrase was apparently spoken directly to the reporter,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,b12246cb-fe8a-428d-9582-0a37aee85432,T1.Q3.A2,The quote or paraphrase was spoken into a video and/or audio recording device,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,fad411af-340e-4e2a-945c-a41d9ef3f617,T1.Q3.A3,The quote or paraphrase was heard or read by some other person who then shared it with the reporter.,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,0c9d5753-5f4a-4bcd-a7d7-4049e4d0487e,T1.Q3.A4,"The quote or paraphrase is from written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,ea27d459-4991-42a7-add4-83af662725d0,T1.Q3.A5,"The quote or paraphrase is from written material that the source had previously written in a private correspondence (email, letter, text, private message, etc.)",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_SourceRelevance2018_10_17.1,1767ef2a4c8048561fc6063c705219b71492b6934949fddabd4148462aa28042,5ec7db37-bde2-4e73-b857-faad7abfb1dd,Source relevance,ea531379-96be-475c-84ba-b52a12e008d6,T1.Q3,"Using the highlight options below, indicate how the quotes and paraphrases were gathered by the reporter",CHECKBOX,NONE,,{},6,07179a37-bccf-4951-bf9e-e18f30ca1605,T1.Q3.A6,I can't tell.,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
