,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
0,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,1,checklist,M,0.375,0.625,"""M""",M,M,0.1875,0.5,0.5,8,5,M,Does the passage contain... (check all that apply):,M
1,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,8,5,L,Does the passage contain... (check all that apply):,L
2,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,8,5,L,Does the passage contain... (check all that apply):,L
3,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,8,5,L,Does the passage contain... (check all that apply):,L
4,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,1,checklist,M,0.625,0.375,"""M""",M,M,0.3125,0.5,0.5,8,5,M,Does the passage contain... (check all that apply):,M
5,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,3,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
6,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,L,0.3333333333333333,0.6666666666666667,"""L""",L,L,0.16666666666666666,0.5,0.5,3,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
7,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,M,0.6666666666666666,0.33333333333333337,"""M""",M,M,0.3333333333333333,0.5,0.5,3,6,M,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,M
8,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,3,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
9,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,L,0.3333333333333333,0.6666666666666667,"""L""",L,L,0.16666666666666666,0.5,0.5,3,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
10,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,2,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,3,6,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
11,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,7,ordinal,-1,-1.0,0.9565229009958894,[],,,0.9565229009958894,0.5,0.5,3,5,,How misleading is the argument?,Somewhat
12,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,8,nominal,U,1.0,1.0,"""U""",U,U,0.5,0.5,0.5,1,1,U,"You said that there was an ""Other"" form of misleading reasoning. Briefly describe what is wrong with it.",U
13,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,9,ordinal,1,0.8730354988712986,0.8730354988712986,"""[]""",,,0.8730354988712986,0.5,0.5,8,10,,"How difficult was this task for you, on the whole?",1: Easier than anything I've ever done in a classroom setting
14,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0d0134d8-41e1-4070-9f39-008f905280b0,Beginner Reasoning Specialist Structured,10,ordinal,6,0.8005196193643366,0.8005196193643366,"""[]""",,,0.8005196193643366,0.5,0.5,8,10,,"How confident are you about your answers, on the whole?",6
15,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,9,5,L,Does the passage contain... (check all that apply):,L
16,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,1,checklist,M,0.5555555555555556,0.4444444444444444,"""M""",M,M,0.2777777777777778,0.5,0.5,9,5,M,Does the passage contain... (check all that apply):,M
17,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,1,checklist,L,0.1111111111111111,0.8888888888888888,"""L""",L,L,0.05555555555555555,0.5,0.5,9,5,L,Does the passage contain... (check all that apply):,L
18,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,9,5,L,Does the passage contain... (check all that apply):,L
19,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,1,checklist,M,0.3333333333333333,0.6666666666666667,"""M""",M,M,0.16666666666666666,0.5,0.5,9,5,M,Does the passage contain... (check all that apply):,M
20,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
21,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
22,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
23,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
24,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
25,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,5,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
26,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,3,checklist,-1,-1.0,0.0,[],,,1.0,0.5,0.5,5,7,,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,No appeals to biases
27,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
28,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,1.0,0.0,"""U""",U,U,0.5,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
29,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
30,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
31,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
32,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
33,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,1.0,0.0,"""U""",U,U,0.5,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
34,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,6,checklist,U,0.0,1.0,"""U""",U,U,0.0,0.5,0.5,1,8,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U
35,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,7,ordinal,U,1.0,1.0,"""U""",U,U,0.5,0.5,0.5,1,5,U,How misleading is the argument?,U
36,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,9,ordinal,2,0.8755818357912191,0.8755818357912191,"""[]""",,,0.8755818357912191,0.5,0.5,9,10,,"How difficult was this task for you, on the whole?",2
37,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a39092fb-d019-4d60-9622-511268e05798,Beginner Reasoning Specialist Structured,10,ordinal,5,0.8418432990788267,0.8418432990788267,"""[]""",,,0.8418432990788267,0.5,0.5,9,10,,"How confident are you about your answers, on the whole?",5: 50-50 that I had it on any given item
38,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d5b9fb64-bf74-405d-a59e-ae933d880963,Beginner Reasoning Specialist Structured,1,checklist,L,0.14285714285714285,0.8571428571428572,"""L""",L,L,0.07142857142857142,0.5,0.5,7,5,L,Does the passage contain... (check all that apply):,L
39,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d5b9fb64-bf74-405d-a59e-ae933d880963,Beginner Reasoning Specialist Structured,1,checklist,L,0.0,1.0,"""L""",L,L,0.0,0.5,0.5,7,5,L,Does the passage contain... (check all that apply):,L
